File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
c_w.l,18.721411%,10027,96,9476,551,0,96
sdio_sdcard.o,11.351967%,6080,64,6048,0,32,32
ff.o,7.502007%,4018,8,4010,0,8,0
oled.o,7.225677%,3870,22,1136,2712,22,0
config_manager.o,3.976923%,2130,568,2090,32,8,560
btod.o,3.614705%,1936,0,1936,0,0,0
system_function.o,3.181538%,1704,0,1704,0,0,0
ebtn.o,3.177804%,1702,60,1702,0,0,60
gd25qxx.o,3.039639%,1628,0,1628,0,0,0
mcu_cmic_gd32f470vet6.o,2.946284%,1578,578,1556,0,22,556
_printf_fp_dec.o,1.967923%,1054,0,1054,0,0,0
_scanf.o,1.650516%,884,0,884,0,0,0
_printf_fp_hex.o,1.497414%,802,0,764,38,0,0
btn_app.o,1.478743%,792,196,582,14,196,0
perf_counter.o,1.389122%,744,80,660,4,80,0
gd32f4xx_rcu.o,1.381654%,740,0,740,0,0,0
gd32f4xx_dma.o,1.310704%,702,0,702,0,0,0
gd32f4xx_timer.o,1.094121%,586,0,586,0,0,0
gd32f4xx_usart.o,1.071715%,574,0,574,0,0,0
gd32f4xx_sdio.o,1.019436%,546,0,546,0,0,0
sampling_control.o,1.000766%,536,12,524,0,12,0
gd32f4xx_adc.o,0.974626%,522,0,522,0,0,0
system_gd32f4xx.o,0.967158%,518,4,514,0,4,0
startup_gd32f450_470.o,0.918613%,492,2048,64,428,0,2048
data_dispose.o,0.885005%,474,0,474,0,0,0
gd32f4xx_i2c.o,0.817790%,438,0,438,0,0,0
__printf_flags_ss_wp.o,0.763644%,409,0,392,17,0,0
gd32f4xx_rtc.o,0.761777%,408,0,408,0,0,0
bigflt0.o,0.702030%,376,0,228,148,0,0
_scanf_int.o,0.619877%,332,0,332,0,0,0
lc_ctype_c.o,0.590004%,316,0,44,272,0,0
gd32f4xx_gpio.o,0.492914%,264,0,264,0,0,0
fz_wm.l,0.477978%,256,0,256,0,0,0
diskio.o,0.470509%,252,0,252,0,0,0
lludivv7m.o,0.444370%,238,0,238,0,0,0
gd32f4xx_dac.o,0.380888%,204,0,204,0,0,0
_printf_wctomb.o,0.365952%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.351015%,188,0,148,40,0,0
usart_app.o,0.336078%,180,516,176,0,4,512
_printf_intcommon.o,0.332344%,178,0,178,0,0,0
gd32f4xx_misc.o,0.328610%,176,0,176,0,0,0
strncmp.o,0.280065%,150,0,150,0,0,0
systick.o,0.276331%,148,4,144,0,4,0
scheduler.o,0.276331%,148,76,72,0,76,0
gd32f4xx_it.o,0.276331%,148,0,148,0,0,0
fnaninf.o,0.261394%,140,0,140,0,0,0
led_app.o,0.259527%,139,7,132,0,7,0
rt_memcpy_v6.o,0.257660%,138,0,138,0,0,0
lludiv10.o,0.257660%,138,0,138,0,0,0
strcmpv7m.o,0.238989%,128,0,128,0,0,0
_printf_fp_infnan.o,0.238989%,128,0,128,0,0,0
_printf_longlong_dec.o,0.231520%,124,0,124,0,0,0
perfc_port_default.o,0.227786%,122,0,122,0,0,0
_printf_dec.o,0.224052%,120,0,120,0,0,0
_printf_oct_int_ll.o,0.209115%,112,0,112,0,0,0
gd32f4xx_spi.o,0.194178%,104,0,104,0,0,0
rt_memcpy_w.o,0.186710%,100,0,100,0,0,0
__dczerorl2.o,0.168039%,90,0,90,0,0,0
memcmp.o,0.164305%,88,0,88,0,0,0
f2d.o,0.160571%,86,0,86,0,0,0
strncpy.o,0.160571%,86,0,86,0,0,0
main.o,0.160571%,86,0,86,0,0,0
_printf_str.o,0.153102%,82,0,82,0,0,0
rt_memclr_w.o,0.145634%,78,0,78,0,0,0
_printf_pad.o,0.145634%,78,0,78,0,0,0
sys_stackheap_outer.o,0.138165%,74,0,74,0,0,0
strcpy.o,0.134431%,72,0,72,0,0,0
llsdiv.o,0.134431%,72,0,72,0,0,0
lc_numeric_c.o,0.134431%,72,0,44,28,0,0
rt_memclr.o,0.126963%,68,0,68,0,0,0
_wcrtomb.o,0.119494%,64,0,64,0,0,0
_sgetc.o,0.119494%,64,0,64,0,0,0
strlen.o,0.115760%,62,0,62,0,0,0
__0sscanf.o,0.112026%,60,0,60,0,0,0
oled_app.o,0.100823%,54,0,54,0,0,0
vsnprintf.o,0.097089%,52,0,52,0,0,0
__scatter.o,0.097089%,52,0,52,0,0,0
m_wm.l,0.089621%,48,0,48,0,0,0
fpclassify.o,0.089621%,48,0,48,0,0,0
_printf_char_common.o,0.089621%,48,0,48,0,0,0
scanf_char.o,0.082152%,44,0,44,0,0,0
_printf_wchar.o,0.082152%,44,0,44,0,0,0
_printf_char.o,0.082152%,44,0,44,0,0,0
__2sprintf.o,0.082152%,44,0,44,0,0,0
_printf_charcount.o,0.074684%,40,0,40,0,0,0
libinit2.o,0.070950%,38,0,38,0,0,0
init_aeabi.o,0.067216%,36,0,36,0,0,0
_printf_truncate.o,0.067216%,36,0,36,0,0,0
systick_wrapper_ual.o,0.059747%,32,0,32,0,0,0
_chval.o,0.052279%,28,0,28,0,0,0
__scatter_zi.o,0.052279%,28,0,28,0,0,0
strchr.o,0.037342%,20,0,20,0,0,0
adc_app.o,0.037342%,20,0,20,0,0,0
isspace.o,0.033608%,18,0,18,0,0,0
exit.o,0.033608%,18,0,18,0,0,0
rt_ctype_table.o,0.029874%,16,0,16,0,0,0
_snputc.o,0.029874%,16,0,16,0,0,0
gd32f4xx_pmu.o,0.029874%,16,0,16,0,0,0
__printf_wp.o,0.026139%,14,0,14,0,0,0
dretinf.o,0.022405%,12,0,12,0,0,0
sys_exit.o,0.022405%,12,0,12,0,0,0
__rtentry2.o,0.022405%,12,0,12,0,0,0
rtc_app.o,0.022405%,12,0,12,0,0,0
fpinit.o,0.018671%,10,0,10,0,0,0
rtexit2.o,0.018671%,10,0,10,0,0,0
_sputc.o,0.018671%,10,0,10,0,0,0
_printf_ll.o,0.018671%,10,0,10,0,0,0
_printf_l.o,0.018671%,10,0,10,0,0,0
sd_app.o,0.018671%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.014937%,8,0,8,0,0,0
libspace.o,0.014937%,8,96,8,0,0,96
__main.o,0.014937%,8,0,8,0,0,0
heapauxi.o,0.011203%,6,0,6,0,0,0
_printf_x.o,0.011203%,6,0,6,0,0,0
_printf_u.o,0.011203%,6,0,6,0,0,0
_printf_s.o,0.011203%,6,0,6,0,0,0
_printf_p.o,0.011203%,6,0,6,0,0,0
_printf_o.o,0.011203%,6,0,6,0,0,0
_printf_n.o,0.011203%,6,0,6,0,0,0
_printf_ls.o,0.011203%,6,0,6,0,0,0
_printf_llx.o,0.011203%,6,0,6,0,0,0
_printf_llu.o,0.011203%,6,0,6,0,0,0
_printf_llo.o,0.011203%,6,0,6,0,0,0
_printf_lli.o,0.011203%,6,0,6,0,0,0
_printf_lld.o,0.011203%,6,0,6,0,0,0
_printf_lc.o,0.011203%,6,0,6,0,0,0
_printf_i.o,0.011203%,6,0,6,0,0,0
_printf_g.o,0.011203%,6,0,6,0,0,0
_printf_f.o,0.011203%,6,0,6,0,0,0
_printf_e.o,0.011203%,6,0,6,0,0,0
_printf_d.o,0.011203%,6,0,6,0,0,0
_printf_c.o,0.011203%,6,0,6,0,0,0
_printf_a.o,0.011203%,6,0,6,0,0,0
__rtentry4.o,0.011203%,6,0,6,0,0,0
printf2.o,0.007468%,4,0,4,0,0,0
printf1.o,0.007468%,4,0,4,0,0,0
_printf_percent_end.o,0.007468%,4,0,4,0,0,0
use_no_semi.o,0.003734%,2,0,2,0,0,0
rtexit.o,0.003734%,2,0,2,0,0,0
libshutdown2.o,0.003734%,2,0,2,0,0,0
libshutdown.o,0.003734%,2,0,2,0,0,0
libinit.o,0.003734%,2,0,2,0,0,0
